date,location,search_count
2023-04-24,east darfur,0.0
2023-04-25,east darfur,0.0
2023-04-26,east darfur,0.0
2023-04-27,east darfur,0.0
2023-04-28,east darfur,0.0
2023-04-29,east darfur,0.0
2023-04-30,east darfur,0.0
2023-05-01,east darfur,0.0
2023-05-02,east darfur,0.0
2023-05-03,east darfur,0.0
2023-05-04,east darfur,0.0
2023-05-05,east darfur,0.0
2023-05-06,east darfur,0.0
2023-05-07,east darfur,0.0
2023-05-08,east darfur,0.0
2023-05-09,east darfur,0.0
2023-05-10,east darfur,0.0
2023-05-11,east darfur,0.0
2023-05-12,east darfur,0.0
2023-05-13,east darfur,0.0
2023-05-14,east darfur,0.0
2023-05-15,east darfur,0.0
2023-05-16,east darfur,0.0
2023-05-17,east darfur,0.0
2023-05-18,east darfur,0.0
2023-05-19,east darfur,0.0
2023-05-20,east darfur,0.0
2023-05-21,east darfur,0.0
2023-05-22,east darfur,0.0
2023-05-23,east darfur,0.0
2023-05-24,east darfur,0.0
2023-05-25,east darfur,0.0
2023-05-26,east darfur,0.0
2023-05-27,east darfur,0.0
2023-05-28,east darfur,0.0
2023-05-29,east darfur,0.0
2023-05-30,east darfur,0.0
2023-05-31,east darfur,0.0
2023-06-01,east darfur,0.0
2023-06-02,east darfur,0.0
2023-06-03,east darfur,0.0
2023-06-04,east darfur,0.0
2023-06-05,east darfur,0.0
2023-06-06,east darfur,0.0
2023-06-07,east darfur,0.0
2023-06-08,east darfur,0.0
2023-06-09,east darfur,0.0
2023-06-10,east darfur,0.0
2023-06-11,east darfur,0.0
2023-06-12,east darfur,0.0
2023-06-13,east darfur,0.0
2023-06-14,east darfur,0.0
2023-06-15,east darfur,0.0
2023-06-16,east darfur,0.0
2023-06-17,east darfur,0.0
2023-06-18,east darfur,0.0
2023-06-19,east darfur,0.0
2023-06-20,east darfur,0.0
2023-06-21,east darfur,0.0
2023-06-22,east darfur,0.0
2023-06-23,east darfur,0.0
2023-06-24,east darfur,0.0
2023-06-25,east darfur,0.0
2023-06-26,east darfur,0.0
2023-06-27,east darfur,0.0
2023-06-28,east darfur,0.0
2023-06-29,east darfur,0.0
2023-06-30,east darfur,0.0
2023-07-01,east darfur,0.0
2023-07-02,east darfur,0.0
2023-07-03,east darfur,0.0
2023-07-04,east darfur,0.0
2023-07-05,east darfur,0.0
2023-07-06,east darfur,0.0
2023-07-07,east darfur,0.0
2023-07-08,east darfur,0.0
2023-07-09,east darfur,0.0
2023-07-10,east darfur,0.0
2023-07-11,east darfur,0.0
2023-07-12,east darfur,0.0
2023-07-13,east darfur,0.0
2023-07-14,east darfur,0.0
2023-07-15,east darfur,0.0
2023-07-16,east darfur,0.0
2023-07-17,east darfur,0.0
2023-07-18,east darfur,0.0
2023-07-19,east darfur,0.0
2023-07-20,east darfur,0.0
2023-07-21,east darfur,0.0
2023-07-22,east darfur,0.0
2023-07-23,east darfur,0.0
2023-01-01,kassala,21.0
2023-01-02,kassala,21.0
2023-01-03,kassala,18.0
2023-01-04,kassala,16.0
2023-01-05,kassala,15.0
2023-01-06,kassala,10.0
2023-01-07,kassala,25.0
2023-01-08,kassala,0.0
2023-01-09,kassala,0.0
2023-01-10,kassala,0.0
2023-01-11,kassala,11.0
2023-01-12,kassala,12.0
2023-01-13,kassala,22.0
2023-01-14,kassala,0.0
2023-01-15,kassala,8.0
2023-01-16,kassala,9.0
2023-01-17,kassala,15.0
2023-01-18,kassala,24.0
2023-01-19,kassala,0.0
2023-01-20,kassala,26.0
2023-01-21,kassala,12.0
2023-01-22,kassala,24.0
2023-01-23,kassala,7.0
2023-01-24,kassala,25.0
2023-01-25,kassala,11.0
2023-01-26,kassala,0.0
2023-01-27,kassala,8.0
2023-01-28,kassala,13.0
2023-01-29,kassala,15.0
2023-01-30,kassala,13.0
2023-01-31,kassala,10.0
2023-02-01,kassala,14.0
2023-02-02,kassala,0.0
2023-02-03,kassala,6.0
2023-02-04,kassala,7.0
2023-02-05,kassala,10.0
2023-02-06,kassala,6.0
2023-02-07,kassala,7.0
2023-02-08,kassala,0.0
2023-02-09,kassala,18.0
2023-02-10,kassala,0.0
2023-02-11,kassala,17.0
2023-02-12,kassala,20.0
2023-02-13,kassala,0.0
2023-02-14,kassala,14.0
2023-02-15,kassala,35.0
