location,Y,X(s),covariate num.,r^2,offset
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.1412795012376492,3
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.10055181338444041,-4
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.09200984811131774,-4
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.2571329905434002,-3
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.22832764205005351,-3
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.00015411783555774328,-2
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.049339982723719e-05,-2
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0025718960436921234,-1
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.005910965918659583,-1
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0025718960436921234,0
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.005910965918659583,0
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.00015411783555774328,1
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.049339982723719e-05,1
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.2571329905434002,2
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.22832764205005351,2
south darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.10055181338444041,3
south darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.09200984811131774,3
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7877321850372756,-4
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7771783460356061,-4
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9422978248454889,-3
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9561829616006586,-3
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.14955713790559777,-2
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.15835434864030418,-2
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.14955713790559777,1
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.15835434864030418,1
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9422978248454889,2
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9561829616006586,2
