date,ISO,topic,search_count
2023-04-08,Northern,safe_places,5.785714285714286
2023-04-09,Northern,safe_places,0.0
2023-04-10,Northern,safe_places,3.5714285714285716
2023-04-11,Northern,safe_places,0.0
2023-04-12,Northern,safe_places,2.2857142857142856
2023-04-13,Northern,safe_places,0.0
2023-04-14,Northern,safe_places,0.0
2023-04-15,Northern,safe_places,0.0
2023-04-16,Northern,safe_places,0.0
2023-04-17,Northern,safe_places,0.0
2023-04-18,Northern,safe_places,0.0
2023-04-19,Northern,safe_places,10.642857142857142
2023-04-20,Northern,safe_places,0.0
2023-04-21,Northern,safe_places,5.214285714285714
2023-04-22,Northern,safe_places,0.0
2023-04-23,Northern,safe_places,0.0
2023-04-24,Northern,safe_places,0.0
2023-04-25,Northern,safe_places,3.7142857142857144
2023-04-26,Northern,safe_places,2.357142857142857
2023-04-27,Northern,safe_places,0.0
2023-04-28,Northern,safe_places,3.2857142857142856
2023-04-29,Northern,safe_places,0.0
2023-04-30,Northern,safe_places,0.0
2023-05-01,Northern,safe_places,0.0
2023-05-02,Northern,safe_places,0.0
2023-05-03,Northern,safe_places,1.1428571428571428
2023-05-04,Northern,safe_places,0.0
2023-05-05,Northern,safe_places,0.0
2023-05-06,Northern,safe_places,4.142857142857143
2023-05-07,Northern,safe_places,0.0
2023-05-08,Northern,safe_places,3.142857142857143
2023-05-09,Northern,safe_places,3.5
2023-05-10,Northern,safe_places,0.0
2023-05-11,Northern,safe_places,0.0
2023-05-12,Northern,safe_places,0.0
2023-05-13,Northern,safe_places,8.142857142857142
2023-05-14,Northern,safe_places,7.142857142857143
2023-05-15,Northern,safe_places,0.0
2023-05-16,Northern,safe_places,0.0
2023-05-17,Northern,safe_places,0.0
2023-05-18,Northern,safe_places,4.142857142857143
2023-05-19,Northern,safe_places,1.5714285714285714
2023-05-20,Northern,safe_places,2.142857142857143
2023-05-21,Northern,safe_places,0.0
2023-05-22,Northern,safe_places,3.5714285714285716
2023-05-23,Northern,safe_places,1.2857142857142858
2023-05-24,Northern,safe_places,1.5
2023-05-25,Northern,safe_places,0.0
2023-05-26,Northern,safe_places,0.0
2023-05-27,Northern,safe_places,1.2857142857142858
2023-05-28,Northern,safe_places,0.0
2023-05-29,Northern,safe_places,0.0
2023-05-30,Northern,safe_places,0.0
2023-05-31,Northern,safe_places,6.428571428571429
2023-06-01,Northern,safe_places,0.0
2023-06-02,Northern,safe_places,0.0
2023-06-03,Northern,safe_places,0.0
2023-06-04,Northern,safe_places,0.0
2023-06-05,Northern,safe_places,0.0
2023-06-06,Northern,safe_places,2.0
2023-06-07,Northern,safe_places,0.0
2023-06-08,Northern,safe_places,3.142857142857143
2023-06-09,Northern,safe_places,0.0
2023-06-10,Northern,safe_places,0.0
2023-06-11,Northern,safe_places,2.2857142857142856
2023-06-12,Northern,safe_places,0.0
2023-06-13,Northern,safe_places,3.4285714285714284
2023-06-14,Northern,safe_places,0.0
2023-06-15,Northern,safe_places,1.8571428571428572
2023-06-16,Northern,safe_places,3.0
2023-06-17,Northern,safe_places,1.3571428571428572
2023-06-18,Northern,safe_places,0.0
2023-06-19,Northern,safe_places,0.0
2023-06-20,Northern,safe_places,0.0
2023-06-21,Northern,safe_places,0.0
2023-06-22,Northern,safe_places,2.642857142857143
2023-06-23,Northern,safe_places,3.5
2023-06-24,Northern,safe_places,1.3571428571428572
2023-06-25,Northern,safe_places,0.0
2023-06-26,Northern,safe_places,0.0
2023-06-27,Northern,safe_places,0.0
2023-06-28,Northern,safe_places,3.0
2023-06-29,Northern,safe_places,0.0
2023-06-30,Northern,safe_places,0.0
2023-07-01,Northern,safe_places,3.857142857142857
2023-07-02,Northern,safe_places,0.0
2023-07-03,Northern,safe_places,0.0
2023-07-04,Northern,safe_places,2.5714285714285716
2023-07-05,Northern,safe_places,0.0
2023-07-06,Northern,safe_places,0.0
2023-07-07,Northern,safe_places,0.0
2023-07-08,Northern,safe_places,0.0
2023-07-09,Northern,safe_places,0.0
