Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Golid,SD17018,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Golid,SD17018,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Golid,SD17018,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Golid,SD17018,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Golid,SD17018,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Golid,SD17018,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Delgo,SD17015,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Halfa,SD17014,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,280,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,60,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,15,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,60,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,50,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,110,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,40,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,105,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,55,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,40,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,245,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,45,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,15,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Atbara,SD16012,,,,255,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,110,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,35,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,10,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,35,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,60,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,35,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,30,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,45,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,70,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,45,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,50,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,55,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,150,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Shendi,SD16010,,,,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,25,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,50,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,35,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,5,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Al Matama,SD16009,,,,85,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Barbar,SD16013,,,,15,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Barbar,SD16013,,,,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Barbar,SD16013,,,,20,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Barbar,SD16013,,,,5,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Barbar,SD16013,,,,30,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Barbar,SD16013,,,,45,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Ad Damar,SD16011,,,,105,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Ad Damar,SD16011,,,,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Ad Damar,SD16011,,,,5,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Abu Hamad,SD16008,,,,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,River Nile,SD16,Abu Hamad,SD16008,,,,10,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Abu Hujar,SD14037,,,,355,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Abu Hujar,SD14037,,,,85,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sharg Sennar,SD14042,,,,195,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sharg Sennar,SD14042,,,,255,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sharg Sennar,SD14042,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sharg Sennar,SD14042,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sharg Sennar,SD14042,,,,165,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sharg Sennar,SD14042,,,,135,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sennar,SD14038,,,,180,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sennar,SD14038,,,,140,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sennar,SD14038,,,,200,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sennar,SD14038,,,,150,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sennar,SD14038,,,,350,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Ad Dinder,SD14040,,,,350,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,Sinja,SD14043,,,,1800,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,Sennar,SD14,As Suki,SD14041,,,,1000,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Kosti,SD09047,,,,70,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Kosti,SD09047,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Kosti,SD09047,,,,35,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Kosti,SD09047,,,,75,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Kosti,SD09047,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Rabak,SD09046,,,,250,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Rabak,SD09046,,,,500,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Rabak,SD09046,,,,650,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Aj Jabalain,SD09051,,,,350,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Al Gitaina,SD09050,,,,1250,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Tendalti,SD09048,,,,400,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Ad Diwaim,SD09044,,,,700,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,Um Rimta,SD09045,,,,750,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,,,,85,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,,,,100,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,,,,200,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,,,,50,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,,,,500,Khartoum,SD01,"Khartoum, Bahri, Omdourman","SD01007, SD01003, SD01006"
4/28/2023,West Darfur,SD04,Ag Geneina,SD04115,,,,194593,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,West Darfur,SD04,Ag Geneina,SD04115,Al Emtidad area (Ag Geneina town),Urban,Neighbourhood,100000,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,West Darfur,SD04,Ag Geneina,SD04115,Al Shati area (Ag Geneina town),Urban,Neighbourhood,60000,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,West Darfur,SD04,Ag Geneina,SD04115,Hai Alriyad (Ag Geneina town),Urban,Neighbourhood,45000,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,Central Darfur,SD06,Zalingi,SD06138,Hai Al sawra,Urban,Neighbourhood,40000,Central Darfur,SD06,Zalingi,SD06138
5/5/2023,South Darfur,SD03,Nyala Janoub,SD03167,Nyala town,Urban,Neighbourhood,30000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,West Darfur,SD04,Ag Geneina,SD04115,As Salam B (Ag Geneina town),Urban,Neighbourhood,26645,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,West Darfur,SD04,Ag Geneina,SD04115,Al Salam A (Ag Geneina town),Urban,Neighbourhood,26575,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,South Darfur,SD03,Nyala Janoub,SD03167,"Otash (IDP camp), As Salam, Kalma and Derig IDPs camps",Urban,Camp,20000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,Central Darfur,SD06,Zalingi,SD06138,Al Himmediya,Urban,Neighbourhood,20000,Central Darfur,SD06,Zalingi,SD06138
5/5/2023,Red Sea,SD10,Port Sudan,SD10064,"Salalb, Dar alneem, Dar alsalam, korea, Hai almatar, Hai alsoug, Hai althoura (Port Sudan town)",Urban,Neighbourhood,17500,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Central Darfur,SD06,Zalingi,SD06138,Hai Alwadi,Urban,Neighbourhood,15000,Central Darfur,SD06,Zalingi,SD06138
5/5/2023,Central Darfur,SD06,Zalingi,SD06138,Hai El estad,Urban,Neighbourhood,15000,Central Darfur,SD06,Zalingi,SD06138
5/5/2023,West Darfur,SD04,Ag Geneina,SD04115,Ardamata (Ag Geneina town),Urban,Neighbourhood,15000,West Darfur,SD04,Ag Geneina,SD04115
5/5/2023,White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,Urban,Camp,10900,Khartoum,SD01,Jebel Awlia,SD01001
5/5/2023,White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,Urban,Camp,9820,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,Gedaref,SD12,Ar Rahad,SD13030,"Hai Alhuda, Hai alwahda, Hai alenqaz, Hai wd abkr, alhawata (Al Hawata town)",Urban,Neighbourhood,8500,Khartoum,SD01,Khartoum,SD01007
5/5/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Gathering Sites,Rural,Camp,8480,Khartoum,SD01,Jebel Awlia,SD01001
5/5/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Gathering Sites,Rural,Camp,7910,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Gathering Sites,Rural,Camp,7255,Khartoum,SD01,Um Durman,SD01006
5/5/2023,North Darfur,SD02,Al Fasher,SD02114,Al Fasher town,Urban,Neighbourhood,7000,North Darfur,SD02,Al Fasher,SD02114
5/5/2023,South Darfur,SD03,Beliel,SD03162,Beliel town,Urban,Neighbourhood,7000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,South Darfur,SD03,Al Wihda,SD03150,Malam,Urban,Neighbourhood,7000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,Urban,Camp,6725,Khartoum,SD01,Um Durman,SD01006
5/5/2023,White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,Urban,Camp,6430,Khartoum,SD01,Khartoum,SD01007
5/5/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Gathering Sites,Rural,Camp,6425,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Kassala,SD11,Halfa Aj Jadeedah,SD11052,Halfa aljadeda(Town),Urban,Neighbourhood,6000,Khartoum,SD01,Bahri,SD01003
5/5/2023,Gedaref,SD12,Madeinat Al Gedaref,SD12080,"Almaamora, Deim Elnour, Deim Sawakin, Salamat Albai,Hai Abakar Gebriel (Gedaref town)",Urban,Neighbourhood,5330,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Sennar,SD14,Ad Dali,SD14039,Almazmom town,Urban,Neighbourhood,5295,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Sennar,SD14,Ad Dali,SD14039,Almazmom town,Urban,Neighbourhood,5185,Khartoum,SD01,Um Durman,SD01006
5/5/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Gathering Sites,Rural,Camp,5170,Khartoum,SD01,Bahri,SD01003
5/5/2023,South Darfur,SD03,Mershing,SD03145,Mershing town,Urban,Neighbourhood,5000,South Darfur,SD03,Mershing,SD03145
5/5/2023,South Darfur,SD03,Kas,SD03144,Kas town,Urban,Neighbourhood,5000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,East Darfur,SD05,Ad Du'ayn,SD05142,El Deain town,Urban,Neighbourhood,4900,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,Urban,Camp,4670,Khartoum,SD01,Bahri,SD01003
5/5/2023,White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Gathering Sites,Rural,Camp,4510,Khartoum,SD01,Um Bada,SD01002
5/5/2023,White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,Urban,Camp,4070,Khartoum,SD01,Um Bada,SD01002
5/5/2023,South Darfur,SD03,Buram,SD03161,Buram town,Urban,Neighbourhood,4000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,Sennar,SD14,Ad Dali,SD14039,Almazmom town,Urban,Neighbourhood,3695,Khartoum,SD01,Jebel Awlia,SD01001
5/5/2023,North Darfur,SD02,Tawila,SD02170,Tawila IDP camps,Rural,Camp,3660,North Darfur,SD02,Tawila,SD02170
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Alsheteeb village,Rural,Village,3650,Khartoum,SD01,Jebel Awlia,SD01001
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Alsheteeb village,Rural,Village,3425,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Gedaref,SD12,Wasat Al Gedaref,SD12081,Um Golga,Rural,Camp,3235,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Gedaref,SD12,Basundah,SD12077,Hai yaseen Al Jaded and Hai sareb (Baundah town),Urban,Neighbourhood,3200,Khartoum,SD01,Jebel Awlia,SD01001
5/5/2023,Northern,SD17,Ad Dabbah,SD17019,Ad Dabba town,Urban,Neighbourhood,3120,Khartoum,SD01,Bahri,SD01003
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Hai Wakara,Urban,Neighbourhood,3070,Khartoum,SD01,Jebel Awlia,SD01001
5/5/2023,Northern,SD17,Ad Dabbah,SD17019,Ad Dabba town,Urban,Neighbourhood,3030,Khartoum,SD01,Khartoum,SD01007
5/5/2023,South Darfur,SD03,As Sunta,SD03156,As Sunta town,Urban,Neighbourhood,3000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,South Darfur,SD03,As Salam - SD,SD03166,Nitiga,Rural,Village,3000,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,Khartoum,SD01,Bahri,SD01003,Bahri Neighbourhoods,Urban,Neighbourhood,3000,Khartoum,SD01,Bahri,SD01003
5/5/2023,Gedaref,SD12,Al Mafaza,SD12082,Abu rekhim,Rural,Village,3000,Khartoum,SD01,Khartoum,SD01007
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Alsheteeb village,Rural,Village,2945,Khartoum,SD01,Um Durman,SD01006
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Hai Wakara,Urban,Neighbourhood,2730,Khartoum,SD01,Um Durman,SD01006
5/5/2023,Blue Nile,SD08,Ar Rusayris,SD08107,"Ar Rusayris town ( Hai alshargi, Dar alsalam)",Urban,Neighbourhood,2575,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,River Nile,SD16,Shendi,SD16010,Shendi town AU,Urban,Neighbourhood,2570,Khartoum,SD01,Khartoum,SD01007
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Abu Habeira,Rural,Village,2565,Khartoum,SD01,Um Durman,SD01006
5/5/2023,North Darfur,SD02,Al Malha,SD02117,Al Malha town,Urban,Neighbourhood,2500,North Darfur,SD02,Al Fasher,SD02114
5/5/2023,South Darfur,SD03,As Salam - SD,SD03166,Abu Agura,Rural,Village,2500,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Alsheteeb village,Rural,Village,2480,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,River Nile,SD16,Shendi,SD16010,Shendi town AU,Urban,Neighbourhood,2430,Khartoum,SD01,Bahri,SD01003
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Hai Wakara,Urban,Neighbourhood,2315,Khartoum,SD01,Khartoum,SD01007
5/5/2023,Gedaref,SD12,Al Mafaza,SD12082,"Al Mafaza, banat",Urban,Neighbourhood,2315,Khartoum,SD01,Khartoum,SD01007
5/5/2023,River Nile,SD16,Shendi,SD16010,Shendi town AU,Urban,Neighbourhood,2290,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,Northern,SD17,Ad Dabbah,SD17019,Ad Dabba town,Urban,Neighbourhood,2285,Khartoum,SD01,Um Durman,SD01006
5/5/2023,River Nile,SD16,Atbara,SD16012,Hai Almatar,Urban,Neighbourhood,2210,Khartoum,SD01,Bahri,SD01003
5/5/2023,North Darfur,SD02,Melit,SD02129,Melit town,Urban,Neighbourhood,2205,North Darfur,SD02,Al Fasher,SD02114
5/5/2023,White Nile,SD09,Ad Diwaim,SD09044,Abu Habeira,Rural,Village,2130,Khartoum,SD01,Khartoum,SD01007
5/5/2023,River Nile,SD16,Atbara,SD16012,Hai Almatar,Urban,Neighbourhood,2115,Khartoum,SD01,Khartoum,SD01007
5/5/2023,East Darfur,SD05,Ad Du'ayn,SD05142,El Naem IDP camp,Urban,Camp,2100,South Darfur,SD03,Nyala Janoub,SD03167
5/5/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,2085,Khartoum,SD01,Khartoum,SD01007
5/5/2023,River Nile,SD16,Shendi,SD16010,Shendi town AU,Urban,Neighbourhood,2080,Khartoum,SD01,Um Durman,SD01006
5/5/2023,River Nile,SD16,Atbara,SD16012,Hai Almatar,Urban,Neighbourhood,2075,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,Northern,SD17,Ad Dabbah,SD17019,Ad Dabba town,Urban,Neighbourhood,2075,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,Gedaref,SD12,Al Fao,SD12074,"Dar alsalam, hai alradwan (Al Fao town)",Urban,Neighbourhood,2050,Khartoum,SD01,Sharg An Neel,SD01004
5/5/2023,River Nile,SD16,Atbara,SD16012,Hai Almatar,Urban,Neighbourhood,2025,Khartoum,SD01,Um Durman,SD01006
5/5/2023,South Darfur,SD03,Rehaid Albirdi,SD03158,Rehaid Albardi town,Urban,Neighbourhood,2000,South Darfur,SD03,Nyala Janoub,SD03167
